ID,Longitude,Latitude,Titel,Datum,URL
exc2764,4.795650243759156,52.50071854144883,VAAREXCURSIE: Doortrekkers en overwinteraars,zaterdag 6 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5969
exc2224,5.427623749565101,52.4518432869584,Rust en vogels in de Oostvaardersplassen,vrijdag 12 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2224&amp;datum=6021
exc2764,4.795650243759156,52.50071854144883,VAAREXCURSIE: Doortrekkers en overwinteraars,zaterdag 13 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5970
exc2782,5.074675083160401,51.602212604915,De Vogels van het Noorderbos - Tilburg,zondag 14 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2782&amp;datum=6020
exc2713,3.9829194545745854,51.835804038589394,Wintergasten aan de kust,zaterdag 20 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2713&amp;datum=5975
exc2783,5.663044452667237,51.963539240530004,Wintergasten in de uiterwaarden,zondag 21 november 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2783&amp;datum=6022
exc2286,4.564912968344289,52.331383998487944,Vogels in de Amsterdamse waterleidingduinen,zaterdag 11 december 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2286&amp;datum=6023
exc2518,5.2839088439941415,52.69833766955953,Vogelzeilexcursie naar Marker Wadden,zaterdag 11 december 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=5983
exc2518,5.2839088439941415,52.69833766955953,Vogelzeilexcursie naar Marker Wadden,zondag 12 december 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=6018
exc2780,4.795639514923097,52.50069241666175,VAAREXCURSIE: Jagende slechtvalken en grazende smienten,zaterdag 18 december 2021,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2780&amp;datum=6015
exc2279,3.8267568302154586,51.68681630624849,Ontdek vogelboulevard Prunjepolder,zaterdag 8 januari 2022,https://www.vogelbescherming.nl/ontdek-vogels/activiteiten/details/?excursie=2279&amp;datum=5976
